month_date_yyyymm,county_fips,county_name,median_listing_price
201704,34019,"hunterdon, nj",455000
201704,34001,"atlantic, nj",229900
201704,34039,"union, nj",316500
201704,34011,"cumberland, nj",139900
201704,34035,"somerset, nj",539000
201704,34009,"cape may, nj",389900
201703,34005,"burlington, nj",199700
201703,34015,"gloucester, nj",183958
201703,34013,"essex, nj",329250
201703,34023,"middlesex, nj",337450
201703,34029,"ocean, nj",304500
201703,34001,"atlantic, nj",229000
201703,34021,"mercer, nj",251950
201703,34003,"bergen, nj",584961
201703,34035,"somerset, nj",536950
201703,34033,"salem, nj",119900
201703,34039,"union, nj",297000
201703,34017,"hudson, nj",424500
201703,34009,"cape may, nj",389950
201703,34019,"hunterdon, nj",449450
201703,34037,"sussex, nj",227000
201703,34007,"camden, nj",159900
201703,34027,"morris, nj",513950
201703,34011,"cumberland, nj",139000
201703,34031,"passaic, nj",309950
201703,34041,"warren, nj",222400
201703,34025,"monmouth, nj",459459
201702,34019,"hunterdon, nj",444750
201702,34027,"morris, nj",481975
201702,34003,"bergen, nj",559000
201702,34013,"essex, nj",295250
201702,34029,"ocean, nj",299250
201702,34005,"burlington, nj",189950
201702,34009,"cape may, nj",395000
201702,34001,"atlantic, nj",224950
201702,34033,"salem, nj",119450
201702,34039,"union, nj",280000
201702,34037,"sussex, nj",219900
201702,34015,"gloucester, nj",179000
201702,34025,"monmouth, nj",449900
201702,34023,"middlesex, nj",322500
201702,34011,"cumberland, nj",134500
201702,34035,"somerset, nj",509950
201702,34017,"hudson, nj",399450
201702,34021,"mercer, nj",241450
201702,34007,"camden, nj",154950
201702,34041,"warren, nj",219950
201702,34031,"passaic, nj",299894
201701,34003,"bergen, nj",549450
201701,34023,"middlesex, nj",319250
201701,34015,"gloucester, nj",179900
201701,34021,"mercer, nj",239400
201701,34013,"essex, nj",274950
201701,34033,"salem, nj",118450
201701,34009,"cape may, nj",388250
201701,34029,"ocean, nj",297000
201701,34035,"somerset, nj",499901
201701,34007,"camden, nj",152900
201701,34039,"union, nj",279450
201701,34041,"warren, nj",219000
201701,34031,"passaic, nj",299000
201701,34011,"cumberland, nj",134000
201701,34019,"hunterdon, nj",448500
201701,34017,"hudson, nj",399000
201701,34025,"monmouth, nj",449000
201701,34037,"sussex, nj",215000
201701,34001,"atlantic, nj",224900
201701,34005,"burlington, nj",189900
201701,34027,"morris, nj",462000
201612,34015,"gloucester, nj",179900
201612,34005,"burlington, nj",195000
201612,34021,"mercer, nj",244000
201612,34017,"hudson, nj",399000
201612,34009,"cape may, nj",385000
201612,34001,"atlantic, nj",225000
201612,34025,"monmouth, nj",449900
201612,34029,"ocean, nj",290000
201612,34027,"morris, nj",474900
201612,34039,"union, nj",279000
201612,34011,"cumberland, nj",132000
201612,34003,"bergen, nj",549000
201612,34013,"essex, nj",279972
201612,34007,"camden, nj",154900
201612,34023,"middlesex, nj",319000
201612,34037,"sussex, nj",224900
201612,34031,"passaic, nj",309000
201612,34041,"warren, nj",224900
201612,34035,"somerset, nj",515000
201612,34019,"hunterdon, nj",449900
201612,34033,"salem, nj",119000
201611,34005,"burlington, nj",200000
201611,34019,"hunterdon, nj",453500
201611,34037,"sussex, nj",229950
201611,34001,"atlantic, nj",228750
201611,34013,"essex, nj",297000
201611,34017,"hudson, nj",425000
201611,34031,"passaic, nj",309900
201611,34033,"salem, nj",119900
201611,34041,"warren, nj",229250
201611,34021,"mercer, nj",262200
201611,34007,"camden, nj",159900
201611,34023,"middlesex, nj",325000
201611,34015,"gloucester, nj",180950
201611,34029,"ocean, nj",299000
201611,34009,"cape may, nj",389000
201611,34025,"monmouth, nj",450000
201611,34039,"union, nj",289950
201611,34027,"morris, nj",484450
201611,34035,"somerset, nj",539450
201611,34003,"bergen, nj",549450
201611,34011,"cumberland, nj",134950
201610,34037,"sussex, nj",235500
201610,34029,"ocean, nj",299000
201610,34003,"bergen, nj",549900
201610,34019,"hunterdon, nj",449900
201610,34001,"atlantic, nj",225000
201610,34009,"cape may, nj",389900
201610,34025,"monmouth, nj",454000
201610,34015,"gloucester, nj",184900
201610,34035,"somerset, nj",534900
201610,34011,"cumberland, nj",135000
201610,34033,"salem, nj",129000
201610,34031,"passaic, nj",314900
201610,34017,"hudson, nj",429000
201610,34039,"union, nj",297900
201610,34023,"middlesex, nj",329000
201610,34021,"mercer, nj",259900
201610,34007,"camden, nj",159900
201610,34005,"burlington, nj",203000
201610,34041,"warren, nj",239900
